material_ID,Materialkategorie,UUID-Nummer,material_name,ID-Nummer Entsorgung,Entsorgung,Rohdichte (kg/m3),Bezug,Total (UBP) ,Herstellung (UBP) ,Entsorgung (UBP) ,Primärenergie Gesamt Total (kWh oil-eq) ,Primärenergie Gesamt Herstellung (kWh oil-eq),Primärenergie Gesamt Herstellung energetisch genutzt (kWh oil-eq),Primärenergie Gesamt Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Gesamt Entsorgung (kWh oil-eq),Primärenergie erneuerbar Total (kWh oil-eq),Primärenergie erneuerbar Herstellung Total (kwh oil-eq),Primärenergie erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Entsorgung (kWh oil-eq),Primärenergie nicht erneuerbar Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Entsorgung (kWh oil-eq),Treibhausgasemissionen Total (kg CO2-eq),Treibhausgasemissionen Herstellung (kg CO2-eq),Treibhausgasemissionen Entsorgung (kg CO2-eq),Biogener Kohlenstoff im Produkt enthalten (kg C),Kommentar
2.004,Mauersteine,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,"Leichtzementstein, Blähton",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1’200,kg,610,568,42.7,1.48,1,1,0,0,0.06,0,0,0,0,1.43,1,1,0,0,0.429,0.416,0.0128,0,
2.005,Mauersteine,27B5089E-6003-4920-991A-0BCC005B9434,"Leichtzementstein, Naturbims",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1’200,kg,323,280,42.7,0.4,0,0,0,0,0.04,0,0,0,0,0.36,0,0,0,0,0.213,0.2,0.0128,0,
2.006,Mauersteine,406B9ED4-C9C0-41E2-B945-7844C7313250,Porenbetonstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",500,kg,574,531,42.7,0.93,1,1,0,0,0.07,0,0,0,0,0.86,1,1,0,0,0.427,0.414,0.0128,0,
2.007,Mauersteine,69524911-E277-4B29-827D-B8475E4D8C23,Zementstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1’700,kg,215,172,42.7,0.25,0,0,0,0,0.03,0,0,0,0,0.226,0,0,0,0,0.127,0.114,0.0128,0,
02.007.01,Mauersteine,288A84C2-129A-431D-B135-7F7A3F9D0CBD,"Erdstein, aus gepresster Erde, Terrabloc",91.177.01,"Entsorgung, Erdstein, aus gepresster Erde, Terrabloc",1’850,kg,136,84,52,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.06,0.054,0,0,
02.007.02,Mauersteine,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,"Hanfsteine, Schönthaler AG",91.176.01,"Entsorgung, Hanfsteine, Schönthaler AG",300,kg,824,751,72,3.7,4,2,2,0,1.8,2,0,2,0,1.9,1.8,2,0,0.1,0.37,0.338,0.03,0.15,
3.021,Andere Massivbaustoffe,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,Betongranulat,91.062,"Entsorgung, Kies und Sand",2’500,kg,44,3,40.4,0.07,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.014,0.001,0.0128,0,
3.001,Andere Massivbaustoffe,D00BA00E-D63B-4109-ADC0-4D9A3367734D,Betonziegel,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’300,kg,327,284,42.7,0.51,0,0,0,0,0.04,0,0,0,0,0.47,0,0,0,0,0.209,0.196,0.0128,0,
3.002,Andere Massivbaustoffe,8873B601-8644-4FF4-B2CF-042546B8500D,Faserzement-Dachschindel,91.137,"Entsorgung, Faserzement",1’800,kg,1100,1040,68,2.7,3,3,0,0,0.5,0,0,0,0,2.16,2,2,0,0,0.7,0.687,0.0133,0,
3.003,Andere Massivbaustoffe,EC993875-136D-4857-B06E-BB581EA9DA43,Faserzementplatte gross,91.137,"Entsorgung, Faserzement",1’800,kg,1’520,1’450,68,3.5,3,3,0,0,0.6,1,1,0,0,2.9,3,3,0,0,1.04,1.02,0.0133,0,
